gene_symbol,degree,betweenness,combined_score,is_hub,is_druggable,small_molecule,antibody,other_modality
EGFR,0.03694581280788178,0.03942283853999159,0.03818432567393668,True,False,False,False,False
HSP90AA1,0.02894088669950739,0.03194465663741189,0.03044277166845964,True,False,False,False,False
MYC,0.025554187192118227,0.017364013324103946,0.021459100258111086,True,False,False,False,False
MAPK3,0.02586206896551724,0.01178204809695281,0.018822058531235024,True,False,False,False,False
PIK3CA,0.021551724137931036,0.013854433038442639,0.017703078588186837,True,False,False,False,False
CDC42,0.020935960591133004,0.014028760000171779,0.01748236029565239,True,False,False,False,False
RHOA,0.023091133004926108,0.011578358806659948,0.01733474590579303,True,False,False,False,False
MAPK1,0.024630541871921183,0.00987971514151429,0.01725512850671774,True,False,False,False,False
CDH1,0.017549261083743842,0.014116368694191403,0.015832814888967622,True,False,False,False,False
IL6,0.01939655172413793,0.007373353034931531,0.013384952379534732,True,False,False,False,False
SMAD3,0.01847290640394089,0.008290040143935773,0.013381473273938332,True,False,False,False,False
MDM2,0.01539408866995074,0.010581129720322113,0.012987609195136425,True,False,False,False,False
ERBB2,0.01816502463054187,0.007788772246886796,0.012976898438714333,True,False,False,False,False
VEGFA,0.017241379310344827,0.008114507637554867,0.012677943473949847,True,False,False,False,False
MAPK8,0.016317733990147784,0.00876884541881909,0.012543289704483436,True,False,False,False,False
CASP3,0.016933497536945813,0.008005706085693053,0.012469601811319432,True,False,False,False,False
JAK2,0.016933497536945813,0.007636830655212499,0.012285164096079156,True,False,False,False,False
FOS,0.01600985221674877,0.008275910492600527,0.012142881354674648,True,False,False,False,False
CCND1,0.017549261083743842,0.006068820463644022,0.011809040773693932,True,False,False,False,False
SMAD4,0.015086206896551725,0.008176013073871197,0.011631109985211462,True,False,False,False,False
BRCA1,0.013546798029556651,0.008960910903869163,0.011253854466712907,True,False,False,False,False
FOXO1,0.015701970443349755,0.006422614704913954,0.011062292574131855,True,False,False,False,False
SP1,0.012315270935960592,0.008816698810336967,0.01056598487314878,True,False,False,False,False
HIST2H2AC,0.014470443349753694,0.006376604247483777,0.010423523798618736,True,False,False,False,False
PPARA,0.012315270935960592,0.008100588290178158,0.010207929613069374,True,False,False,False,False
CXCR4,0.01416256157635468,0.005690881274253339,0.00992672142530401,True,False,False,False,False
KDR,0.01416256157635468,0.005090176515363819,0.00962636904585925,True,False,False,False,False
NANOG,0.012007389162561577,0.006939656599406289,0.009473522880983933,True,False,False,False,False
IGF1,0.014470443349753694,0.004420811476237547,0.00944562741299562,True,False,False,False,False
TLR4,0.01293103448275862,0.0059015005892704515,0.009416267536014536,True,False,False,False,False
FOXO3,0.014470443349753694,0.004017229958369562,0.009243836654061628,True,False,False,False,False
ATM,0.011083743842364532,0.007262195926431996,0.009172969884398264,True,False,False,False,False
HSPA5,0.012007389162561577,0.0055027087105789735,0.008755048936570276,True,False,False,False,False
CD8A,0.011083743842364532,0.006417543253360405,0.00875064354786247,True,False,False,False,False
NR3C1,0.012315270935960592,0.004997838151931055,0.008656554543945823,True,False,False,False,False
RB1,0.01293103448275862,0.004010252221881268,0.008470643352319944,True,False,False,False,False
PXN,0.01293103448275862,0.0037808465033294368,0.008355940493044028,True,False,False,False,False
KIT,0.012623152709359606,0.004045690827950243,0.008334421768654924,True,False,False,False,False
NFKBIA,0.011083743842364532,0.005209127304203112,0.008146435573283822,True,False,False,False,False
RUNX2,0.011391625615763547,0.004846278122342373,0.00811895186905296,True,False,False,False,False
BTRC,0.011083743842364532,0.005014448788434345,0.008049096315399438,True,False,False,False,False
LCK,0.012007389162561577,0.0036562601832061305,0.007831824672883854,True,False,False,False,False
RBBP7,0.011699507389162561,0.0037778025821043485,0.007738654985633454,True,False,False,False,False
MUC1,0.009852216748768473,0.005505978379669081,0.007679097564218777,True,False,False,False,False
