miRNA,normal_mean,tumor_mean,log2FC,pvalue,stat,padj
MIMAT0004552,6.649897959183674,4.207471698113207,-0.6603786358464432,1.571197184282511e-28,11.079859046520129,4.1008246509773537e-26
MIMAT0000436,5.585918367346938,2.9230614555256063,-0.9343143289985572,2.5395437115604324e-22,9.717494053288066,8.285261358965911e-21
MIMAT0001545,4.487183673469388,2.9889474393530997,-0.5861727114802178,1.1047157197673877e-21,9.566607121592787,2.2179292527637555e-20
MIMAT0002808,4.998836734693878,3.3871490566037736,-0.561520932218287,1.959973176612855e-21,9.507128870509586,3.410353327306368e-20
MIMAT0000765,4.525673469387756,3.0696789757412395,-0.5600447091317862,1.1802131587761608e-17,8.55485076632486,9.334413164865998e-17
MIMAT0000281,3.99765306122449,6.595916442048518,0.7224198502971693,5.891189643540923e-16,-8.091546494729396,3.416889993253735e-15
MIMAT0006790,8.420244897959183,5.703770889487871,-0.5619461614475578,5.1597457226758945e-15,7.822955234574731,2.8056117367050177e-14
MIMAT0003879,4.411510204081633,3.093806199460916,-0.5118897948953378,1.3776421967552905e-13,7.398468347896726,6.199389885398807e-13
MIMAT0005797,2.307918367346939,3.2766574123989223,0.5056326454706723,3.69398390458637e-11,-6.615859781012499,1.2204174672114463e-10
