source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
REAC,REAC:R-HSA-72766,Translation,1.0,False,Translation,292,1811,22,10916,0.012147984538928768,0.07534246575342465,query_1,['REAC:R-HSA-392499'],"['SEC61B', 'MRPL49', 'RPL12', 'RPL23', 'SEC61A1', 'RPS3', 'EIF3H', 'EEF1A1', 'EIF4A1', 'RPL18A', 'RPS10', 'RPS18', 'SRP9', 'SRPRA', 'LARS2', 'EIF3K', 'RPL26L1', 'MRPL38', 'EIF5', 'RPN2', 'RPS7', 'MRPS23']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-72649,Translation initiation complex formation,1.0,False,Translation initiation complex formation,59,1811,7,10916,0.003865267807840972,0.11864406779661017,query_1,['REAC:R-HSA-72662'],"['RPS3', 'EIF3H', 'EIF4A1', 'RPS10', 'RPS18', 'EIF3K', 'RPS7']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-8864260,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,1.0,False,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,38,1811,12,10916,0.006626173384870237,0.3157894736842105,query_1,['REAC:R-HSA-212436'],"['CDKN1A', 'EGFR', 'ERBB2', 'VEGFA', 'CGA', 'KIT', 'MYC', 'TFAP2B', 'CITED2', 'KDM5B', 'YY1', 'NPM1']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-9679504,Translation of Replicase and Assembly of the Replication Transcription Complex,1.0,False,Translation of Replicase and Assembly of the Replication Transcription Complex,13,1811,2,10916,0.0011043622308117063,0.15384615384615385,query_1,['REAC:R-HSA-9678108'],"['CHMP3', 'MAP1LC3B']","[['REAC'], ['REAC']]"
REAC,REAC:R-HSA-9683701,Translation of Structural Proteins,1.0,False,Translation of Structural Proteins,29,1811,2,10916,0.0011043622308117063,0.06896551724137931,query_1,['REAC:R-HSA-9678108'],"['ST6GAL1', 'PARP10']","[['REAC'], ['REAC']]"
REAC,REAC:R-HSA-9694635,Translation of Structural Proteins,1.0,False,Translation of Structural Proteins,57,1811,9,10916,0.004969630038652678,0.15789473684210525,query_1,['REAC:R-HSA-9772573'],"['ST6GAL1', 'MGAT4A', 'EDEM2', 'ZDHHC11', 'PARP10', 'ZDHHC20', 'SRPK2', 'CSNK1A1', 'RPN2']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-110320,Translesion Synthesis by POLH,1.0,False,Translesion Synthesis by POLH,19,1811,1,10916,0.0005521811154058532,0.05263157894736842,query_1,['REAC:R-HSA-110313'],['SPRTN'],[['REAC']]
REAC,REAC:R-HSA-5655862,Translesion synthesis by POLK,1.0,False,Translesion synthesis by POLK,17,1811,1,10916,0.0005521811154058532,0.058823529411764705,query_1,['REAC:R-HSA-110313'],['POLK'],[['REAC']]
REAC,REAC:R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,1.0,False,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,39,1811,3,10916,0.0016565433462175593,0.07692307692307693,query_1,['REAC:R-HSA-73893'],"['POLK', 'POLD4', 'SPRTN']","[['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane,1.0,False,Translocation of SLC2A4 (GLUT4) to the plasma membrane,72,1811,7,10916,0.003865267807840972,0.09722222222222222,query_1,['REAC:R-HSA-199991'],"['RHOQ', 'SLC2A4', 'TUBA8', 'RALGAPA2', 'TUBB2A', 'TUBA1B', 'RALGAPB']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-202430,Translocation of ZAP-70 to Immunological synapse,1.0,False,Translocation of ZAP-70 to Immunological synapse,20,1811,2,10916,0.0011043622308117063,0.1,query_1,['REAC:R-HSA-202403'],"['HLA-DRB5', 'LCK']","[['REAC'], ['REAC']]"
REAC,REAC:R-HSA-112315,Transmission across Chemical Synapses,1.0,False,Transmission across Chemical Synapses,259,1811,57,10916,0.03147432357813363,0.22007722007722008,query_1,['REAC:R-HSA-112316'],"['ABAT', 'ADCY6', 'ADCY7', 'ALDH2', 'BCHE', 'CACNA1B', 'CACNB3', 'CHAT', 'CHRNA7', 'CHRNB4', 'DLG2', 'DLG3', 'GABBR1', 'GABRA1', 'GLRA2', 'GLS', 'GNGT1', 'GNGT2', 'GRIA1', 'GRIK4', 'GRIN2D', 'KCNJ9', 'MDM2', 'MYO6', 'PRKCG', 'MAPK1', 'RPS6KA2', 'SLC1A1', 'SLC6A4', 'SLC6A12', 'SLC22A2', 'STX1A', 'SYN1', 'SYT1', 'PPFIA4', 'PPFIA2', 'LIN7A', 'TSPOAP1', 'PPM1E', 'NBEA', 'CACNG4', 'GLS2', 'RPS6KA6', 'TUBA8', 'SLC38A2', 'GABRQ', 'SLC17A7', 'KIF17', 'CACNG8', 'GRIP2', 'GNG8', 'PDPK1', 'SLC6A13', 'TUBB2A', 'TUBA1B', 'LIN7C', 'MAPK3']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-9694676,Translation of Replicase and Assembly of the Replication Transcription Complex,1.0,False,Translation of Replicase and Assembly of the Replication Transcription Complex,14,1811,2,10916,0.0011043622308117063,0.14285714285714285,query_1,['REAC:R-HSA-9772572'],"['CHMP3', 'MAP1LC3B']","[['REAC'], ['REAC']]"
