mirnet,mir_id,mir_acc,symbol,embl,entrez,experiment,pmid
mirnet-hsa-1093,hsa-mir-124,MIMAT0000422,KANK1,ENSG00000107104,23189,other,15685193
mirnet-hsa-1094,hsa-mir-124,MIMAT0000422,UHRF1,ENSG00000276043,29128,other,15685193
mirnet-hsa-1095,hsa-mir-124,MIMAT0000422,CPNE3,ENSG00000085719,8895,other,15685193
mirnet-hsa-1096,hsa-mir-124,MIMAT0000422,SLC15A4,ENSG00000139370,121260,other,15685193
mirnet-hsa-1097,hsa-mir-124,MIMAT0000422,DHCR24,ENSG00000116133,1718,other,15685193
mirnet-hsa-1098,hsa-mir-124,MIMAT0000422,ACTR8,ENSG00000113812,93973,other,15685193
mirnet-hsa-1099,hsa-mir-124,MIMAT0000422,MYH9,ENSG00000100345,4627,other,15685193
mirnet-hsa-1100,hsa-mir-124,MIMAT0000422,ELF4,ENSG00000102034,2000,other,15685193
mirnet-hsa-1101,hsa-mir-124,MIMAT0000422,MAPK1IP1L,ENSG00000168175,93487,other,15685193
mirnet-hsa-1102,hsa-mir-124,MIMAT0000422,RAG1AP1,NA,NA,other,15685193
mirnet-hsa-1103,hsa-mir-124,MIMAT0000422,CDCA7,ENSG00000144354,83879,other,15685193
mirnet-hsa-1104,hsa-mir-124,MIMAT0000422,C7orf42,NA,NA,other,15685193
mirnet-hsa-1105,hsa-mir-124,MIMAT0000422,STOM,ENSG00000148175,2040,other,15685193
mirnet-hsa-1106,hsa-mir-124,MIMAT0000422,MTMR6,ENSG00000139505,9107,other,15685193
mirnet-hsa-1107,hsa-mir-124,MIMAT0000422,POLR3G,ENSG00000113356,10622,other,15685193
mirnet-hsa-1108,hsa-mir-124,MIMAT0000422,ANXA8L2,NA,NA,other,15685193
mirnet-hsa-1109,hsa-mir-124,MIMAT0000422,OSBPL8,ENSG00000091039,114882,other,15685193
mirnet-hsa-1110,hsa-mir-124,MIMAT0000422,BTG3,ENSG00000154640,10950,other,15685193
mirnet-hsa-1111,hsa-mir-124,MIMAT0000422,BTG3,ENSG00000281484,10950,other,15685193
mirnet-hsa-1112,hsa-mir-124,MIMAT0000422,SLC17A5,ENSG00000119899,26503,other,15685193
mirnet-hsa-1113,hsa-mir-124,MIMAT0000422,VPS37C,ENSG00000167987,55048,other,15685193
mirnet-hsa-1114,hsa-mir-124,MIMAT0000422,SEC11A,ENSG00000140612,23478,other,15685193
mirnet-hsa-1115,hsa-mir-124,MIMAT0000422,VAMP3,ENSG00000049245,9341,other,15685193
mirnet-hsa-1116,hsa-mir-124,MIMAT0000422,USP48,ENSG00000090686,84196,other,15685193
mirnet-hsa-1117,hsa-mir-124,MIMAT0000422,PTTG1IP,ENSG00000183255,754,other,15685193
mirnet-hsa-1118,hsa-mir-124,MIMAT0000422,PGM1,ENSG00000079739,5236,other,15685193
mirnet-hsa-1119,hsa-mir-124,MIMAT0000422,CYP1B1,ENSG00000138061,1545,other,15685193
mirnet-hsa-1120,hsa-mir-124,MIMAT0000422,TOM1L1,ENSG00000141198,10040,other,15685193
mirnet-hsa-1121,hsa-mir-124,MIMAT0000422,SMAD5,ENSG00000113658,4090,other,15685193
mirnet-hsa-1122,hsa-mir-124,MIMAT0000422,NFIC,ENSG00000141905,4782,other,15685193
mirnet-hsa-1123,hsa-mir-124,MIMAT0000422,RYK,ENSG00000163785,6259,other,15685193
mirnet-hsa-1124,hsa-mir-124,MIMAT0000422,RBMS1,ENSG00000153250,5937,other,15685193
mirnet-hsa-1125,hsa-mir-124,MIMAT0000422,CTGF,NA,NA,other,15685193
mirnet-hsa-1126,hsa-mir-124,MIMAT0000422,CHSY1,ENSG00000131873,22856,other,15685193
mirnet-hsa-1127,hsa-mir-124,MIMAT0000422,LOC552891,NA,NA,other,15685193
mirnet-hsa-1128,hsa-mir-124,MIMAT0000422,GMCL1,ENSG00000087338,64395,other,15685193
mirnet-hsa-1129,hsa-mir-124,MIMAT0000422,ENDOD1,ENSG00000149218,23052,other,15685193
mirnet-hsa-1130,hsa-mir-124,MIMAT0000422,LRRC58,ENSG00000163428,116064,other,15685193
mirnet-hsa-1131,hsa-mir-124,MIMAT0000422,MAPK14,ENSG00000112062,1432,other,15685193
mirnet-hsa-1132,hsa-mir-124,MIMAT0000422,CEBPA,ENSG00000245848,1050,Western blot,18451139
mirnet-hsa-1133,hsa-mir-124,MIMAT0000422,CD164,ENSG00000135535,8763,other,15685193
mirnet-hsa-1134,hsa-mir-124,MIMAT0000422,CTDSP1,ENSG00000144579,58190,other,15685193
mirnet-hsa-1135,hsa-mir-124,MIMAT0000422,LITAF,ENSG00000189067,9516,other,15685193
mirnet-hsa-1136,hsa-mir-124,MIMAT0000422,ATP6V0E1,ENSG00000113732,8992,other,15685193
mirnet-hsa-1137,hsa-mir-124,MIMAT0000422,LASS2,NA,NA,other,15685193
mirnet-hsa-1138,hsa-mir-124,MIMAT0000422,C11orf75,NA,NA,other,15685193
mirnet-hsa-1139,hsa-mir-124,MIMAT0000422,PPP1R13L,ENSG00000104881,10848,other,15685193
mirnet-hsa-1140,hsa-mir-124,MIMAT0000422,PLOD3,ENSG00000106397,8985,other,15685193
mirnet-hsa-1141,hsa-mir-124,MIMAT0000422,CDCA7L,ENSG00000164649,55536,other,15685193
mirnet-hsa-1142,hsa-mir-124,MIMAT0000422,DNAJC1,ENSG00000136770,64215,other,15685193
mirnet-hsa-1143,hsa-mir-124,MIMAT0000422,CAV1,ENSG00000105974,857,other,15685193
mirnet-hsa-1144,hsa-mir-124,MIMAT0000422,TJP2,ENSG00000119139,9414,other,15685193
mirnet-hsa-1145,hsa-mir-124,MIMAT0000422,SYNGR2,ENSG00000108639,9144,other,15685193
mirnet-hsa-1146,hsa-mir-124,MIMAT0000422,SNAI2,ENSG00000019549,6591,other,15685193
mirnet-hsa-1147,hsa-mir-124,MIMAT0000422,AP1M2,ENSG00000129354,10053,other,15685193
mirnet-hsa-1148,hsa-mir-124,MIMAT0000422,TWIST2,ENSG00000233608,117581,other,15685193
mirnet-hsa-1149,hsa-mir-124,MIMAT0000422,TWIST2,ENSG00000288335,117581,other,15685193
mirnet-hsa-1150,hsa-mir-124,MIMAT0000422,RBM47,ENSG00000163694,54502,other,15685193
mirnet-hsa-1151,hsa-mir-124,MIMAT0000422,LRRC1,ENSG00000137269,55227,other,15685193
mirnet-hsa-1152,hsa-mir-124,MIMAT0000422,HADHB,ENSG00000138029,3032,other,15685193
mirnet-hsa-1153,hsa-mir-124,MIMAT0000422,TMEM109,ENSG00000110108,79073,other,15685193
mirnet-hsa-1154,hsa-mir-124,MIMAT0000422,C12orf23,NA,NA,other,15685193
mirnet-hsa-1155,hsa-mir-124,MIMAT0000422,AK2,ENSG00000004455,204,other,15685193
mirnet-hsa-1156,hsa-mir-124,MIMAT0000422,BBF2H7,NA,NA,other,15685193
mirnet-hsa-1157,hsa-mir-124,MIMAT0000422,HADH,ENSG00000138796,3033,other,15685193
mirnet-hsa-1158,hsa-mir-124,MIMAT0000422,LOC286077,NA,NA,other,15685193
mirnet-hsa-1159,hsa-mir-124,MIMAT0000422,FCHO2,ENSG00000157107,115548,other,15685193
mirnet-hsa-1160,hsa-mir-124,MIMAT0000422,C14orf24,NA,NA,other,15685193
mirnet-hsa-1161,hsa-mir-124,MIMAT0000422,TEAD1,ENSG00000187079,7003,other,15685193
mirnet-hsa-1162,hsa-mir-124,MIMAT0000422,STX10,ENSG00000104915,8677,other,15685193
mirnet-hsa-1163,hsa-mir-124,MIMAT0000422,RNPEPL1,ENSG00000142327,57140,other,15685193
mirnet-hsa-1164,hsa-mir-124,MIMAT0000422,ABHD5,ENSG00000011198,51099,other,15685193
mirnet-hsa-1165,hsa-mir-124,MIMAT0000422,ELOVL1,ENSG00000066322,64834,other,15685193
mirnet-hsa-1166,hsa-mir-124,MIMAT0000422,ARHGEF1,ENSG00000076928,9138,other,15685193
mirnet-hsa-1167,hsa-mir-124,MIMAT0000422,SWAP70,ENSG00000133789,23075,other,15685193
mirnet-hsa-1168,hsa-mir-124,MIMAT0000422,TLN1,ENSG00000137076,7094,other,15685193
mirnet-hsa-1169,hsa-mir-124,MIMAT0000422,TRIP11,ENSG00000100815,9321,other,15685193
mirnet-hsa-1170,hsa-mir-124,MIMAT0000422,SYPL1,ENSG00000008282,6856,other,15685193
mirnet-hsa-1171,hsa-mir-124,MIMAT0000422,STX2,ENSG00000111450,2054,other,15685193
mirnet-hsa-1172,hsa-mir-124,MIMAT0000422,CEBPA,ENSG00000245848,1050,other,15685193
mirnet-hsa-1173,hsa-mir-124,MIMAT0000422,C18orf37,NA,NA,other,15685193
mirnet-hsa-1174,hsa-mir-124,MIMAT0000422,PECI,NA,NA,other,15685193
mirnet-hsa-1175,hsa-mir-124,MIMAT0000422,PHF19,ENSG00000119403,26147,other,15685193
mirnet-hsa-1176,hsa-mir-124,MIMAT0000422,NARG1,NA,NA,other,15685193
mirnet-hsa-1177,hsa-mir-124,MIMAT0000422,FAM57A,NA,NA,other,15685193
mirnet-hsa-1178,hsa-mir-124,MIMAT0000422,SERP1,ENSG00000120742,27230,other,15685193
mirnet-hsa-1179,hsa-mir-124,MIMAT0000422,TMBIM1,ENSG00000135926,64114,other,15685193
mirnet-hsa-1180,hsa-mir-124,MIMAT0000422,SLC25A30,ENSG00000174032,253512,other,15685193
mirnet-hsa-1181,hsa-mir-124,MIMAT0000422,LDLRAP1,ENSG00000157978,26119,other,15685193
mirnet-hsa-1182,hsa-mir-124,MIMAT0000422,TSC22D4,ENSG00000166925,81628,other,15685193
mirnet-hsa-1183,hsa-mir-124,MIMAT0000422,GNAI3,ENSG00000065135,2773,other,15685193
mirnet-hsa-1184,hsa-mir-124,MIMAT0000422,F11R,ENSG00000158769,50848,other,15685193
mirnet-hsa-1185,hsa-mir-124,MIMAT0000422,GTPBP8,ENSG00000163607,29083,other,15685193
mirnet-hsa-1186,hsa-mir-124,MIMAT0000422,MPHOSPH9,ENSG00000051825,10198,other,15685193
mirnet-hsa-1187,hsa-mir-124,MIMAT0000422,B4GALT1,ENSG00000086062,2683,other,15685193
mirnet-hsa-1188,hsa-mir-124,MIMAT0000422,ZBED3,ENSG00000132846,84327,other,15685193
mirnet-hsa-1189,hsa-mir-124,MIMAT0000422,FAM35A,NA,NA,other,15685193
mirnet-hsa-1190,hsa-mir-124,MIMAT0000422,PGRMC2,ENSG00000164040,10424,other,15685193
mirnet-hsa-1191,hsa-mir-124,MIMAT0000422,NECAP2,ENSG00000157191,55707,other,15685193
mirnet-hsa-1192,hsa-mir-124,MIMAT0000422,DNM2,ENSG00000079805,1785,other,15685193
mirnet-hsa-1193,hsa-mir-124,MIMAT0000422,TUBB6,ENSG00000176014,84617,other,15685193
mirnet-hsa-1194,hsa-mir-124,MIMAT0000422,ARFIP1,ENSG00000164144,27236,other,15685193
mirnet-hsa-1195,hsa-mir-124,MIMAT0000422,MDFIC,ENSG00000135272,29969,other,15685193
mirnet-hsa-1196,hsa-mir-124,MIMAT0000422,UHMK1,ENSG00000152332,127933,other,15685193
mirnet-hsa-1197,hsa-mir-124,MIMAT0000422,SLC16A1,ENSG00000155380,6566,other,15685193
mirnet-hsa-1198,hsa-mir-124,MIMAT0000422,SLC16A1,ENSG00000281917,6566,other,15685193
mirnet-hsa-1199,hsa-mir-124,MIMAT0000422,TSKU,ENSG00000182704,25987,other,15685193
mirnet-hsa-1200,hsa-mir-124,MIMAT0000422,NME4,ENSG00000103202,4833,other,15685193
mirnet-hsa-1201,hsa-mir-124,MIMAT0000422,ACAA2,ENSG00000167315,10449,other,15685193
mirnet-hsa-1202,hsa-mir-124,MIMAT0000422,DRAM,NA,NA,other,15685193
mirnet-hsa-1203,hsa-mir-124,MIMAT0000422,SP1,ENSG00000185591,6667,other,15685193
mirnet-hsa-1204,hsa-mir-124,MIMAT0000422,CHP,NA,NA,other,15685193
mirnet-hsa-1205,hsa-mir-124,MIMAT0000422,CTNND1,ENSG00000198561,1500,other,15685193
mirnet-hsa-1206,hsa-mir-124,MIMAT0000422,PODXL,ENSG00000128567,5420,other,15685193
mirnet-hsa-1207,hsa-mir-124,MIMAT0000422,ZNF790,ENSG00000197863,388536,other,15685193
mirnet-hsa-1208,hsa-mir-124,MIMAT0000422,PLP2,ENSG00000102007,5355,other,15685193
mirnet-hsa-1209,hsa-mir-124,MIMAT0000422,OAF,ENSG00000184232,220323,other,15685193
mirnet-hsa-1210,hsa-mir-124,MIMAT0000422,AHR,ENSG00000106546,196,other,15685193
mirnet-hsa-1211,hsa-mir-124,MIMAT0000422,DVL2,ENSG00000004975,1856,other,15685193
mirnet-hsa-1212,hsa-mir-124,MIMAT0000422,ASPRV1,ENSG00000244617,151516,other,15685193
mirnet-hsa-1213,hsa-mir-124,MIMAT0000422,QSER1,ENSG00000060749,79832,other,15685193
mirnet-hsa-1214,hsa-mir-124,MIMAT0000422,IFRD2,ENSG00000214706,7866,other,15685193
mirnet-hsa-1215,hsa-mir-124,MIMAT0000422,CCDC99,NA,NA,other,15685193
mirnet-hsa-1216,hsa-mir-124,MIMAT0000422,PTBP1,ENSG00000011304,5725,other,15685193
mirnet-hsa-1217,hsa-mir-124,MIMAT0000422,SERPINB6,ENSG00000124570,5269,other,15685193
mirnet-hsa-1218,hsa-mir-124,MIMAT0000422,C6orf72,NA,NA,other,15685193
mirnet-hsa-1219,hsa-mir-124,MIMAT0000422,AHRR,ENSG00000286169,57491,other,15685193
mirnet-hsa-1220,hsa-mir-124,MIMAT0000422,HEBP2,ENSG00000051620,23593,other,15685193
mirnet-hsa-1221,hsa-mir-124,MIMAT0000422,CDK6,ENSG00000105810,1021,other,15685193
mirnet-hsa-1222,hsa-mir-124,MIMAT0000422,SLC30A7,ENSG00000162695,148867,other,15685193
mirnet-hsa-1223,hsa-mir-124,MIMAT0000422,ARAF,ENSG00000078061,369,other,15685193
mirnet-hsa-1224,hsa-mir-124,MIMAT0000422,GSN,ENSG00000148180,2934,other,15685193
mirnet-hsa-1225,hsa-mir-124,MIMAT0000422,APEX2,ENSG00000169188,27301,other,15685193
mirnet-hsa-1226,hsa-mir-124,MIMAT0000422,ANKRD27,ENSG00000105186,84079,other,15685193
mirnet-hsa-1227,hsa-mir-124,MIMAT0000422,PAPSS2,ENSG00000198682,9060,other,15685193
mirnet-hsa-1228,hsa-mir-124,MIMAT0000422,NEK9,ENSG00000119638,91754,other,15685193
mirnet-hsa-1229,hsa-mir-124,MIMAT0000422,CHST14,ENSG00000169105,113189,other,15685193
mirnet-hsa-1230,hsa-mir-124,MIMAT0000422,SSFA2,NA,NA,other,15685193
mirnet-hsa-1231,hsa-mir-124,MIMAT0000422,C2orf12,NA,NA,other,15685193
mirnet-hsa-1232,hsa-mir-124,MIMAT0000422,ALDH9A1,ENSG00000143149,223,other,15685193
mirnet-hsa-1233,hsa-mir-124,MIMAT0000422,HTATIP2,ENSG00000109854,10553,other,15685193
mirnet-hsa-1234,hsa-mir-124,MIMAT0000422,CLDND1,ENSG00000080822,56650,other,15685193
mirnet-hsa-1235,hsa-mir-124,MIMAT0000422,FAM129B,NA,NA,other,15685193
mirnet-hsa-1236,hsa-mir-124,MIMAT0000422,ARHGAP29,ENSG00000137962,9411,other,15685193
mirnet-hsa-1237,hsa-mir-124,MIMAT0000422,KIAA1102,NA,NA,other,15685193
mirnet-hsa-1238,hsa-mir-124,MIMAT0000422,CDK4,ENSG00000135446,1019,other,15685193
mirnet-hsa-1239,hsa-mir-124,MIMAT0000422,CD59,ENSG00000085063,966,other,15685193
mirnet-hsa-1240,hsa-mir-124,MIMAT0000422,DCTD,ENSG00000129187,1635,other,15685193
mirnet-hsa-1241,hsa-mir-124,MIMAT0000422,USP49,ENSG00000164663,25862,other,15685193
mirnet-hsa-1243,hsa-mir-124,MIMAT0000422,TNFRSF21,ENSG00000146072,27242,other,15685193
mirnet-hsa-1244,hsa-mir-124,MIMAT0000422,RASSF5,ENSG00000266094,83593,other,15685193
mirnet-hsa-1245,hsa-mir-124,MIMAT0000422,SLC22A5,ENSG00000197375,6584,other,15685193
mirnet-hsa-1246,hsa-mir-124,MIMAT0000422,KATNA1,ENSG00000186625,11104,other,15685193
mirnet-hsa-1247,hsa-mir-124,MIMAT0000422,RELA,ENSG00000173039,5970,other,15685193
mirnet-hsa-1248,hsa-mir-124,MIMAT0000422,DEPDC1,ENSG00000024526,55635,other,15685193
mirnet-hsa-1249,hsa-mir-124,MIMAT0000422,PLDN,NA,NA,other,15685193
mirnet-hsa-1250,hsa-mir-124,MIMAT0000422,CTDSP2,ENSG00000175215,10106,other,15685193
mirnet-hsa-1251,hsa-mir-124,MIMAT0000422,MAN2A1,ENSG00000112893,4124,other,15685193
mirnet-hsa-1252,hsa-mir-124,MIMAT0000422,NEK6,ENSG00000119408,10783,other,15685193
mirnet-hsa-1253,hsa-mir-124,MIMAT0000422,IQGAP1,ENSG00000140575,8826,other,15685193
mirnet-hsa-1254,hsa-mir-124,MIMAT0000422,CDK6,ENSG00000105810,1021,Western blot,18607543
mirnet-hsa-1255,hsa-mir-124,MIMAT0000422,ELK3,ENSG00000111145,2004,other,20144220
mirnet-hsa-1256,hsa-mir-124,MIMAT0000422,LDLR,ENSG00000130164,3949,other,20042474
mirnet-hsa-1257,hsa-mir-124,MIMAT0000422,BDNF,ENSG00000176697,627,Western blot,19703567
mirnet-hsa-1258,hsa-mir-124,MIMAT0000422,ROCK2,ENSG00000134318,9475,Western blot,21672940
mirnet-hsa-1259,hsa-mir-124,MIMAT0000422,EZH2,ENSG00000106462,2146,Western blot,21672940
mirnet-hsa-1260,hsa-mir-124,MIMAT0000422,BACE1,ENSG00000186318,23621,Western blot,22178568
mirnet-hsa-1261,hsa-mir-125b,MIMAT0000423,ERBB2,ENSG00000141736,2064,Western blot,17110380
mirnet-hsa-1262,hsa-mir-125b,MIMAT0000423,ERBB3,ENSG00000065361,2065,Western blot,17110380
mirnet-hsa-1263,hsa-mir-125b,MIMAT0000423,LIN28,NA,NA,other,18230348
mirnet-hsa-1264,hsa-mir-125b,MIMAT0000423,BAK1,ENSG00000030110,578,Western blot,18056640
mirnet-hsa-1265,hsa-mir-125b,MIMAT0000423,NTRK3,ENSG00000140538,4916,Western blot,17483472
mirnet-hsa-1266,hsa-mir-125b,MIMAT0000423,LIN28,NA,NA,other,16495412
mirnet-hsa-1267,hsa-mir-125b,MIMAT0000423,LIN28,NA,NA,Western blot,16227573
mirnet-hsa-1268,hsa-mir-125b,MIMAT0000423,C10orf104,NA,NA,other,18056640
mirnet-hsa-1269,hsa-mir-125b,MIMAT0000423,H3F3B,NA,NA,other,18056640
mirnet-hsa-1270,hsa-mir-125b,MIMAT0000423,ADAMTS1,ENSG00000154734,9510,other,18056640
mirnet-hsa-1271,hsa-mir-125b,MIMAT0000423,PERP,ENSG00000112378,64065,other,18056640
mirnet-hsa-1272,hsa-mir-125b,MIMAT0000423,B3GALT4,ENSG00000235863,8705,other,18056640
mirnet-hsa-1273,hsa-mir-125b,MIMAT0000423,B3GALT4,ENSG00000206285,8705,other,18056640
mirnet-hsa-1274,hsa-mir-125b,MIMAT0000423,B3GALT4,ENSG00000235155,8705,other,18056640
mirnet-hsa-1275,hsa-mir-125b,MIMAT0000423,B3GALT4,ENSG00000236802,8705,other,18056640
mirnet-hsa-1276,hsa-mir-125b,MIMAT0000423,B3GALT4,ENSG00000226936,8705,other,18056640
mirnet-hsa-1277,hsa-mir-125b,MIMAT0000423,HOMER2,ENSG00000103942,9455,other,18056640
mirnet-hsa-1278,hsa-mir-125b,MIMAT0000423,GPR160,ENSG00000173890,26996,other,18056640
mirnet-hsa-1279,hsa-mir-125b,MIMAT0000423,CASP7,ENSG00000165806,840,other,18056640
mirnet-hsa-1280,hsa-mir-125b,MIMAT0000423,CEBPG,ENSG00000153879,1054,other,18056640
mirnet-hsa-1281,hsa-mir-125b,MIMAT0000423,CBLN2,ENSG00000141668,147381,other,18056640
mirnet-hsa-1282,hsa-mir-125b,MIMAT0000423,HIST1H4A,NA,NA,other,18056640
mirnet-hsa-1283,hsa-mir-125b,MIMAT0000423,LOC92270,NA,NA,other,18056640
mirnet-hsa-1284,hsa-mir-125b,MIMAT0000423,CBX7,ENSG00000100307,23492,other,18056640
mirnet-hsa-1285,hsa-mir-125b,MIMAT0000423,UGT2B15,ENSG00000196620,7366,other,18056640
mirnet-hsa-1286,hsa-mir-125b,MIMAT0000423,UGT2B15,ENSG00000277132,7366,other,18056640
mirnet-hsa-1287,hsa-mir-125b,MIMAT0000423,UBE2I,ENSG00000103275,7329,other,18056640
mirnet-hsa-1288,hsa-mir-125b,MIMAT0000423,RBM8A,ENSG00000265241,9939,other,18056640
mirnet-hsa-1289,hsa-mir-125b,MIMAT0000423,FLJ41484,NA,NA,other,18056640
mirnet-hsa-1290,hsa-mir-125b,MIMAT0000423,IL1RN,ENSG00000136689,3557,other,18056640
mirnet-hsa-1291,hsa-mir-125b,MIMAT0000423,UGT2B28,ENSG00000135226,54490,other,18056640
mirnet-hsa-1292,hsa-mir-125b,MIMAT0000423,CASP6,ENSG00000138794,839,other,18056640
mirnet-hsa-1293,hsa-mir-125b,MIMAT0000423,DIO3,ENSG00000197406,1735,other,18056640
mirnet-hsa-1294,hsa-mir-125b,MIMAT0000423,ID2,ENSG00000115738,3398,other,18056640
mirnet-hsa-1295,hsa-mir-125b,MIMAT0000423,PCDHB10,ENSG00000120324,56126,other,18056640
mirnet-hsa-1296,hsa-mir-125b,MIMAT0000423,SGPL1,ENSG00000166224,8879,other,18056640
mirnet-hsa-1297,hsa-mir-125b,MIMAT0000423,CYP1A1,ENSG00000140465,1543,other,18056640
mirnet-hsa-1298,hsa-mir-125b,MIMAT0000423,CLU,ENSG00000120885,1191,other,18056640
mirnet-hsa-1299,hsa-mir-125b,MIMAT0000423,IGFBP3,ENSG00000146674,3486,other,18056640
mirnet-hsa-1300,hsa-mir-125b,MIMAT0000423,PIGR,ENSG00000162896,5284,other,18056640
mirnet-hsa-1301,hsa-mir-125b,MIMAT0000423,UGT2B17,ENSG00000197888,7367,other,18056640
mirnet-hsa-1302,hsa-mir-125b,MIMAT0000423,TSPAN8,ENSG00000127324,7103,other,18056640
mirnet-hsa-1303,hsa-mir-125b,MIMAT0000423,MAN1A1,ENSG00000111885,4121,other,18056640
mirnet-hsa-1304,hsa-mir-125b,MIMAT0000423,ODZ2,NA,NA,other,18056640
mirnet-hsa-1305,hsa-mir-125b,MIMAT0000423,JARID2,ENSG00000008083,3720,other,18056640
mirnet-hsa-1306,hsa-mir-125b,MIMAT0000423,ID3,ENSG00000117318,3399,other,18056640
mirnet-hsa-1307,hsa-mir-125b,MIMAT0000423,ID3,ENSG00000283060,3399,other,18056640
mirnet-hsa-1308,hsa-mir-125b,MIMAT0000423,ID1,ENSG00000125968,3397,other,18056640
mirnet-hsa-1309,hsa-mir-125b,MIMAT0000423,FAM19A1,NA,NA,other,18056640
mirnet-hsa-1310,hsa-mir-125b,MIMAT0000423,SMO,ENSG00000128602,6608,Western blot,18756266
mirnet-hsa-1311,hsa-mir-125b,MIMAT0000423,CDKN2A,ENSG00000147889,1029,Western blot,20347935
mirnet-hsa-1312,hsa-mir-125b,MIMAT0000423,ST18,ENSG00000147488,9705,Western blot,20194440
mirnet-hsa-1313,hsa-mir-125b,MIMAT0000423,DICER1,ENSG00000100697,23405,Western blot,20194440
mirnet-hsa-1314,hsa-mir-125b,MIMAT0000423,KRT,NA,NA,immunocytochemistry,19998415
mirnet-hsa-1315,hsa-mir-125b,MIMAT0000423,CDK6,ENSG00000105810,1021,Western blot,19948152
mirnet-hsa-1316,hsa-mir-125b,MIMAT0000423,CDC25A,ENSG00000164045,993,Western blot,19948152
mirnet-hsa-1317,hsa-mir-125b,MIMAT0000423,HuR,NA,NA,Western blot,19875930
mirnet-hsa-1318,hsa-mir-125b,MIMAT0000423,BMPR1B,ENSG00000138696,658,other,19738052
mirnet-hsa-1319,hsa-mir-125b,MIMAT0000423,BMF,ENSG00000104081,90427,Western blot,19471102
mirnet-hsa-1320,hsa-mir-125b,MIMAT0000423,κB-Ras2,NA,NA,other,20351193
mirnet-hsa-1321,hsa-mir-125b,MIMAT0000423,E2F3,ENSG00000112242,1871,Western blot,20549700
mirnet-hsa-1322,hsa-mir-125b,MIMAT0000423,Bak1,NA,NA,other,21935352
mirnet-hsa-1323,hsa-mir-125b,MIMAT0000423,Cdc25c,NA,NA,other,21935352
mirnet-hsa-1324,hsa-mir-125b,MIMAT0000423,Ppp1ca,NA,NA,other,21935352
mirnet-hsa-1325,hsa-mir-125b,MIMAT0000423,Ppp2ca,NA,NA,other,21935352
mirnet-hsa-1326,hsa-mir-125b,MIMAT0000423,Prkra,NA,NA,other,21935352
mirnet-hsa-1327,hsa-mir-125b,MIMAT0000423,PUMA,NA,NA,other,21935352
mirnet-hsa-1328,hsa-mir-125b,MIMAT0000423,Tdg,NA,NA,other,21935352
mirnet-hsa-1329,hsa-mir-125b,MIMAT0000423,Tp53,NA,NA,other,21935352
mirnet-hsa-1330,hsa-mir-125b,MIMAT0000423,TP53INP1,ENSG00000164938,94241,other,21935352
mirnet-hsa-1331,hsa-mir-125b,MIMAT0000423,Zac1,NA,NA,other,21935352
mirnet-hsa-1332,hsa-mir-125b,MIMAT0000423,4E-BP1,NA,NA,immunoblotting,22071331
mirnet-hsa-1333,hsa-mir-128,MIMAT0000424,E2F3,ENSG00000112242,1871,Western blot,18810376
mirnet-hsa-1334,hsa-mir-128,MIMAT0000424,BMI1,ENSG00000168283,648,other,19010882
mirnet-hsa-1335,hsa-mir-128,MIMAT0000424,ADORA2B,ENSG00000170425,136,other,20388705
mirnet-hsa-1336,hsa-mir-128,MIMAT0000424,LDLR,ENSG00000130164,3949,other,20042474
mirnet-hsa-1337,hsa-mir-128,MIMAT0000424,TXNIP,ENSG00000265972,10628,other,20042474
mirnet-hsa-1338,hsa-mir-128,MIMAT0000424,DBI,ENSG00000155368,1622,other,20042474
mirnet-hsa-1339,hsa-mir-128,MIMAT0000424,AGO1,ENSG00000092847,26523,Western blot,20042474
mirnet-hsa-1340,hsa-mir-128,MIMAT0000424,MLL,NA,NA,other,19749093
mirnet-hsa-1341,hsa-mir-128,MIMAT0000424,AF4,NA,NA,other,19749093
mirnet-hsa-1342,hsa-mir-128,MIMAT0000424,RELN,ENSG00000189056,5649,Western blot,19713529
mirnet-hsa-1343,hsa-mir-128,MIMAT0000424,DCX,ENSG00000077279,1641,Western blot,19713529
mirnet-hsa-1344,hsa-mir-128,MIMAT0000424,NTRK3,ENSG00000140538,4916,other,19370765
mirnet-hsa-1345,hsa-mir-130a,MIMAT0000425,CSF1,ENSG00000184371,1435,activity assay,14697198
mirnet-hsa-1346,hsa-mir-130a,MIMAT0000425,MAFB,ENSG00000204103,9935,other,16549775
mirnet-hsa-1347,hsa-mir-130a,MIMAT0000425,MEOX2,ENSG00000106511,4223,Western blot,17957028
mirnet-hsa-1348,hsa-mir-130a,MIMAT0000425,HOXA5,ENSG00000106004,3202,Western blot,17957028
mirnet-hsa-1349,hsa-mir-130a,MIMAT0000425,ATXN1,ENSG00000124788,6310,Western blot,18758459
mirnet-hsa-1350,hsa-mir-130a,MIMAT0000425,CSF1,ENSG00000184371,1435,other,18823650
mirnet-hsa-1351,hsa-mir-130a,MIMAT0000425,DDX6,ENSG00000110367,1656,Western blot,21486751
mirnet-hsa-1352,hsa-mir-130a,MIMAT0000425,TAC1,ENSG00000006128,6863,other,17855557
mirnet-hsa-1353,hsa-mir-132,MIMAT0000426,RICS,NA,NA,other,18577589
mirnet-hsa-1354,hsa-mir-132,MIMAT0000426,RFX4,ENSG00000111783,5992,Western blot,17553428
